city,行政区划代码,year,省份,高新技术企业数,高新技术企业数_市辖区,技术合同成交额_万元_全市,技术合同成交额_万元_市辖区,city_en,数据来源
昆明市,530100,2022,云南省,2463.0,2154.0,1767323.0,1710153.0,  Kunming,2-18 高新技术企业数和技术合同成交额
曲靖市,530300,2022,云南省,234.0,119.0,205551.0,159354.0,  Qujing,2-18 高新技术企业数和技术合同成交额
玉溪市,530400,2022,云南省,241.0,136.0,216033.0,157182.0,  Yuxi,2-18 高新技术企业数和技术合同成交额
保山市,530500,2022,云南省,81.0,38.0,63048.0,21135.0,  Baoshan,2-18 高新技术企业数和技术合同成交额
昭通市,530600,2022,云南省,50.0,16.0,60592.0,17095.0,  Zhaotong,2-18 高新技术企业数和技术合同成交额
丽江市,530700,2022,云南省,75.0,33.0,111489.0,92201.0,  Lijiang,2-18 高新技术企业数和技术合同成交额
普洱市,530800,2022,云南省,76.0,34.0,56788.0,20037.0,  Pu'er,2-18 高新技术企业数和技术合同成交额
临沧市,530900,2022,云南省,71.0,36.0,53996.0,3951.0,  Lincang,2-18 高新技术企业数和技术合同成交额
呼和浩特市,150100,2022,内蒙古自治区,599.0,499.0,274089.0,243316.0,  Hohhot,2-18 高新技术企业数和技术合同成交额
包头市,150200,2022,内蒙古自治区,350.0,326.0,205728.0,202665.0,  Baotou,2-18 高新技术企业数和技术合同成交额
乌海市,150300,2022,内蒙古自治区,58.0,58.0,58362.0,58362.0,  Wuhai,2-18 高新技术企业数和技术合同成交额
赤峰市,150400,2022,内蒙古自治区,151.0,85.0,41643.0,25245.0,  Chifeng,2-18 高新技术企业数和技术合同成交额
通辽市,150500,2022,内蒙古自治区,78.0,21.0,20180.0,3493.0,  Tongliao,2-18 高新技术企业数和技术合同成交额
鄂尔多斯市,150600,2022,内蒙古自治区,330.0,65.0,100014.0,34545.0,  Erdos,2-18 高新技术企业数和技术合同成交额
呼伦贝尔市,150700,2022,内蒙古自治区,53.0,16.0,15350.0,1408.0,  Hulunbuir,2-18 高新技术企业数和技术合同成交额
巴彦淖尔市,150800,2022,内蒙古自治区,101.0,48.0,16184.0,4976.0,  Bayannur,2-18 高新技术企业数和技术合同成交额
乌兰察布市,150900,2022,内蒙古自治区,110.0,26.0,21987.0,2897.0,  Ulanqab,2-18 高新技术企业数和技术合同成交额
长春市,220100,2022,吉林省,3367.0,3216.0,2148800.0,2146700.0,  Changchun,2-18 高新技术企业数和技术合同成交额
吉林市,220200,2022,吉林省,290.0,118.0,188123.0,179080.0,  Jilin,2-18 高新技术企业数和技术合同成交额
四平市,220300,2022,吉林省,73.0,46.0,13615.0,13499.0,  Siping,2-18 高新技术企业数和技术合同成交额
辽源市,220400,2022,吉林省,,,2791.0,2207.0,  Liaoyuan,2-18 高新技术企业数和技术合同成交额
