ct_adcode,ct_name,pr_adcode,pr_name,cn_adcode,cn_name,city,adcode_mapped,hightech_value,local_moran_i,local_moran_p,lisa_quadrant,lisa_class,lisa_label,gi_star_z,gi_star_p,gi_star_class,gi_star_label,spatial_lag_queen,spatial_lag_knn4,spatial_lag_knn8
130100,石家庄市,130000,河北省,100000,中华人民共和国,石家庄市,130100,3742.0,-0.15220783449244496,0.402,4,0,Not significant,0.2771973374871171,0.436,0,Not significant,818.3333333333333,1086.0,1034.0
130200,唐山市,130000,河北省,100000,中华人民共和国,唐山市,130200,1805.0,-0.04190257558356668,0.307,4,0,Not significant,-0.11243553509594396,0.334,0,Not significant,378.0,581.25,735.25
130300,秦皇岛市,130000,河北省,100000,中华人民共和国,秦皇岛市,130300,450.0,0.08618633150332311,0.348,3,0,Not significant,-0.29538324710695435,0.367,0,Not significant,616.75,616.75,738.625
130400,邯郸市,130000,河北省,100000,中华人民共和国,邯郸市,130400,1243.0,0.018072279746363492,0.231,3,0,Not significant,-0.17586287175732,0.251,0,Not significant,553.0,457.75,962.125
130500,邢台市,130000,河北省,100000,中华人民共和国,邢台市,130500,1029.0,0.001910537634752131,0.37,3,0,Not significant,-0.07367438491399202,0.345,0,Not significant,1390.4999999999998,1720.75,984.375
130600,保定市,130000,河北省,100000,中华人民共和国,保定市,130600,2145.0,-0.017369379969528885,0.428,4,0,Not significant,0.079017152936567,0.401,0,Not significant,1206.1428571428569,1573.0,1186.5
130700,张家口市,130000,河北省,100000,中华人民共和国,张家口市,130700,408.0,0.08373678388466985,0.389,3,0,Not significant,-0.29312969186381754,0.407,0,Not significant,672.5,1005.25,1195.875
130800,承德市,130000,河北省,100000,中华人民共和国,承德市,130800,306.0,0.0998011688649631,0.293,3,0,Not significant,-0.3203526392009094,0.341,0,Not significant,608.4000000000001,961.75,773.0
130900,沧州市,130000,河北省,100000,中华人民共和国,沧州市,130900,1573.0,-0.0021394695562751993,0.372,4,0,Not significant,-0.0009542059045537865,0.34,0,Not significant,1290.2,1076.5,1936.5
131000,廊坊市,130000,河北省,100000,中华人民共和国,廊坊市,131000,1441.0,0.0002948720543760154,0.189,1,0,Not significant,0.07063509811014657,0.177,0,Not significant,1859.0,1625.75,1137.75
131100,衡水市,130000,河北省,100000,中华人民共和国,衡水市,131100,980.0,-0.02316455417739296,0.269,2,0,Not significant,0.0035365150890423486,0.235,0,Not significant,1910.6000000000001,1146.0,1644.375
