CountyFIPS,StateAbbr,StateDesc,CountyName,x_coor,y_coor,pm25_2019_annual_mean,pm25_days_2019,pm25_sites_2019,CASTHMA_AdjPrev,COPD_AdjPrev,CSMOKING_AdjPrev,OBESITY_AdjPrev,LPA_AdjPrev
01113,AL,Alabama,Russell,-85.18445744,32.28842421,9.40457776522994,345,1,10.6,8.3,21.7,38.5,36.3
02020,AK,Alaska,Anchorage,-149.1141071,61.1504589,7.999717046571987,357,2,9.2,5.0,15.3,30.7,20.5
02110,AK,Alaska,Juneau,-134.1828501,58.45102839,6.810408904816637,352,1,9.2,4.8,15.1,27.5,16.7
02170,AK,Alaska,Matanuska-Susitna,-149.5702635,62.3154278,5.993296706587221,363,2,9.5,6.1,19.8,32.0,23.9
04003,AZ,Arizona,Cochise,-109.751401,31.87949959,5.145985221607577,361,1,10.0,6.1,17.6,33.9,27.2
04012,AZ,Arizona,La Paz,-113.9813104,33.72903482,3.299713341121925,357,1,10.2,7.9,19.5,37.0,31.5
04013,AZ,Arizona,Maricopa,-112.4911577,33.34873471,6.955045205347376,365,9,9.5,5.6,14.3,31.0,24.8
04019,AZ,Arizona,Pima,-111.7899304,32.09739367,3.468743947557647,365,2,9.5,5.5,14.3,30.8,23.4
04021,AZ,Arizona,Pinal,-111.3447295,32.90442817,8.291612498674105,365,2,9.5,6.2,17.4,34.6,31.2
04023,AZ,Arizona,Santa Cruz,-110.8465934,31.52596855,8.866806976906615,360,1,9.1,5.6,14.5,37.1,32.1
04027,AZ,Arizona,Yuma,-113.9054902,32.76937366,7.977566733445232,365,1,9.5,6.4,15.1,38.4,29.7
06001,CA,California,Alameda,-121.8893196,37.64555147,7.372020142925669,365,6,8.0,3.8,10.0,23.5,19.7
06009,CA,California,Calaveras,-120.55399,38.20431662,5.56710156303324,350,1,9.5,5.8,15.0,30.1,21.3
06011,CA,California,Colusa,-122.237555,39.17712713,6.225707146950957,338,1,9.0,5.4,13.5,32.3,29.6
06013,CA,California,Contra Costa,-121.927827,37.91916061,7.356773763525755,365,2,8.3,4.1,10.0,23.9,22.1
06019,CA,California,Fresno,-119.6510577,36.75819212,8.408316555620939,365,4,9.2,5.6,14.3,37.6,29.4
06027,CA,California,Inyo,-117.4115268,36.51151321,4.8467550431088995,365,2,9.1,5.4,13.6,28.0,22.1
06029,CA,California,Kern,-118.730066,35.34295136,5.3578600393212,365,2,9.3,6.1,15.1,35.5,33.0
06031,CA,California,Kings,-119.8154673,36.07536089,12.039916539979224,365,2,9.0,5.7,14.3,35.3,30.6
06037,CA,California,Los Angeles,-118.2246916,34.32114132,10.069703325334801,365,3,7.4,4.3,10.9,27.8,25.2
06039,CA,California,Madera,-119.7627487,37.2182163,9.743024368982901,346,1,9.4,6.1,14.1,32.7,30.9
06041,CA,California,Marin,-122.7238042,38.07388193,6.380631560563457,360,1,8.3,3.9,9.5,22.5,17.3
06045,CA,California,Mendocino,-123.3914133,39.44035366,5.719700279469376,362,2,9.4,6.2,14.8,30.8,25.1
06047,CA,California,Merced,-120.7175557,37.19191313,9.205372784327263,362,1,9.3,5.9,14.4,34.6,32.2
06051,CA,California,Mono,-118.8875478,37.93923386,5.679469943828083,365,2,8.7,5.3,12.9,29.0,22.4
06053,CA,California,Monterey,-121.2393212,36.21636989,4.484200007250852,365,3,8.7,5.2,12.0,32.1,27.9
06055,CA,California,Napa,-122.3314634,38.50726702,5.942962713949105,361,1,8.4,4.4,10.8,28.6,20.6
06057,CA,California,Nevada,-120.7686055,39.30115247,6.317263119090938,362,1,9.2,5.2,12.4,25.1,18.8
06059,CA,California,Orange,-117.7607477,33.70297627,9.107763765021954,365,1,7.6,4.1,10.4,24.5,21.6
06061,CA,California,Placer,-120.7171226,39.06343593,7.208818808003591,360,1,8.6,4.4,11.0,24.6,17.6
06065,CA,California,Riverside,-115.9938549,33.74363564,7.933226008057807,365,6,8.3,5.1,12.5,33.4,26.2
06067,CA,California,Sacramento,-121.3448359,38.44874079,5.387895570086519,362,2,9.8,5.2,13.3,27.8,24.0
06069,CA,California,San Benito,-121.0755542,36.60399254,4.961028009340431,362,1,8.3,4.5,11.7,30.1,25.4
