FIPS,county_name,gdp_per_capita
01001,"Autauga, AL",49879
01003,"Baldwin, AL",57721
01005,"Barbour, AL",41053
01007,"Bibb, AL",38232
01009,"Blount, AL",44085
01011,"Bullock, AL",33623
01013,"Butler, AL",47524
01015,"Calhoun, AL",42684
01017,"Chambers, AL",39568
01019,"Cherokee, AL",44552
01021,"Chilton, AL",43434
01023,"Choctaw, AL",43293
01025,"Clarke, AL",44541
01027,"Clay, AL",39516
01029,"Cleburne, AL",44365
01031,"Coffee, AL",51873
01033,"Colbert, AL",44702
01035,"Conecuh, AL",41313
01037,"Coosa, AL",38883
01039,"Covington, AL",42432
01041,"Crenshaw, AL",48483
01043,"Cullman, AL",49786
01045,"Dale, AL",44902
01047,"Dallas, AL",42265
01049,"DeKalb, AL",42115
01051,"Elmore, AL",48775
01053,"Escambia, AL",40499
01055,"Etowah, AL",43197
01057,"Fayette, AL",43018
01059,"Franklin, AL",42381
01061,"Geneva, AL",42387
01063,"Greene, AL",38672
01065,"Hale, AL",44630
01067,"Henry, AL",53120
01069,"Houston, AL",52035
01071,"Jackson, AL",44272
01073,"Jefferson, AL",67540
01075,"Lamar, AL",40141
01077,"Lauderdale, AL",44918
01079,"Lawrence, AL",43959
01081,"Lee, AL",46178
01083,"Limestone, AL",53967
01085,"Lowndes, AL",50952
01087,"Macon, AL",38786
01089,"Madison, AL",62519
01091,"Marengo, AL",46806
01093,"Marion, AL",43363
01095,"Marshall, AL",47043
01097,"Mobile, AL",48370
01099,"Monroe, AL",42513
01101,"Montgomery, AL",50837
01103,"Morgan, AL",47579
01105,"Perry, AL",40241
01107,"Pickens, AL",41538
01109,"Pike, AL",47569
01111,"Randolph, AL",42760
01113,"Russell, AL",39049
01115,"St. Clair, AL",48249
01117,"Shelby, AL",67471
01119,"Sumter, AL",38568
01121,"Talladega, AL",41552
01123,"Tallapoosa, AL",49152
01125,"Tuscaloosa, AL",42056
01127,"Walker, AL",49282
01129,"Washington, AL",45510
01131,"Wilcox, AL",38764
01133,"Winston, AL",43539
04001,"Apache, AZ",46200
04003,"Cochise, AZ",50543
04005,"Coconino, AZ",58530
04007,"Gila, AZ",50241
04009,"Graham, AZ",41225
04011,"Greenlee, AZ",52784
04012,"La Paz, AZ*",57037
04013,"Maricopa, AZ",64296
04015,"Mohave, AZ",43642
04017,"Navajo, AZ",42923
04019,"Pima, AZ",54802
04021,"Pinal, AZ",46908
04023,"Santa Cruz, AZ",46579
04025,"Yavapai, AZ",52023
04027,"Yuma, AZ*",44828
05001,"Arkansas, AR",58426
05003,"Ashley, AR",43540
05005,"Baxter, AR",44190
05007,"Benton, AR",108539
05009,"Boone, AR",42859
05011,"Bradley, AR",47939
05013,"Calhoun, AR",46167
05015,"Carroll, AR",41851
05017,"Chicot, AR",46902
05019,"Clark, AR",42448
05021,"Clay, AR",44275
05023,"Cleburne, AR",47933
05025,"Cleveland, AR",52655
05027,"Columbia, AR",45009
05029,"Conway, AR",48812
05031,"Craighead, AR",46945
05033,"Crawford, AR",41931
05035,"Crittenden, AR",45412
05037,"Cross, AR",42684
05039,"Dallas, AR",47129
05041,"Desha, AR",48826
05043,"Drew, AR",46616
05045,"Faulkner, AR",47981
05047,"Franklin, AR",42975
05049,"Fulton, AR",34815
05051,"Garland, AR",48493
05053,"Grant, AR",47568
05055,"Greene, AR",41673
05057,"Hempstead, AR",44056
05059,"Hot Spring, AR",38146
05061,"Howard, AR",49425
05063,"Independence, AR",45238
05065,"Izard, AR",35479
05067,"Jackson, AR",46315
05069,"Jefferson, AR",41503
05071,"Johnson, AR",35830
05073,"Lafayette, AR",50336
05075,"Lawrence, AR",42867
05077,"Lee, AR",37417
05079,"Lincoln, AR",33785
05081,"Little River, AR",42104
05083,"Logan, AR",41225
05085,"Lonoke, AR",48790
05087,"Madison, AR",45332
05089,"Marion, AR",37177
05091,"Miller, AR",40367
05093,"Mississippi, AR",44455
05095,"Monroe, AR",42112
05097,"Montgomery, AR",38847
05099,"Nevada, AR",40770
05101,"Newton, AR",38229
05103,"Ouachita, AR",48245
05105,"Perry, AR",46390
05107,"Phillips, AR",45037
05109,"Pike, AR",42482
05111,"Poinsett, AR",44279
05113,"Polk, AR",40318
05115,"Pope, AR",41929
05117,"Prairie, AR",44683
05119,"Pulaski, AR",60467
05121,"Randolph, AR",40779
05123,"St. Francis, AR",36191
05125,"Saline, AR",51281
05127,"Scott, AR",41285
05129,"Searcy, AR",33389
05131,"Sebastian, AR",47513
05133,"Sevier, AR",45592
05135,"Sharp, AR",43902
05137,"Stone, AR",36960
05139,"Union, AR",52406
